voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
3.226169,0.116900,0.707264,-1.258910,0.997929,719.000000,0.000813,3.015518,4.996585,0.002141,1.216332,-0.062529,0.000001,0.000001,0.000000,3.251537,0.997900
3.227564,0.116698,0.749886,-1.274886,1.011809,729.000000,0.000803,3.011689,4.996586,0.002139,1.216977,-0.049179,0.000001,0.000001,0.000003,3.251772,1.011800
3.228928,0.116491,0.792767,-1.290693,1.025688,739.000000,0.000793,3.001050,4.996588,0.002134,1.213292,-0.051374,0.000001,0.000001,0.000007,3.249702,1.025700
3.230263,0.116281,0.835912,-1.306344,1.039569,749.000000,0.000783,2.989096,4.996590,0.002124,1.236075,-0.054008,0.000001,0.000001,-0.000001,3.244730,1.039600
3.231572,0.116068,0.879254,-1.321818,1.053448,759.000000,0.000774,2.983843,4.996589,0.002126,1.222103,-0.053383,0.000001,0.000001,0.000000,3.244769,1.053500
3.232854,0.115852,0.922770,-1.337117,1.067327,769.000000,0.000764,2.976840,4.996593,0.002134,1.178663,-0.068040,0.000001,0.000001,0.000012,3.250513,1.067300
3.234112,0.115635,0.966404,-1.352224,1.081207,779.000000,0.000755,2.973514,4.996592,0.002126,1.199716,-0.069704,0.000001,0.000001,0.000003,3.245899,1.081200
3.235345,0.115416,1.010178,-1.367160,1.095086,789.000000,0.000747,2.962664,4.996592,0.002132,1.147982,-0.071512,0.000001,0.000001,0.000006,3.250860,1.095100
3.236556,0.115196,1.054075,-1.381926,1.108966,799.000000,0.000738,2.956331,4.996593,0.002129,1.139639,-0.067153,0.000001,0.000001,0.000000,3.251334,1.109000
3.237744,0.114975,1.098039,-1.396508,1.122846,809.000000,0.000730,2.950225,4.996597,0.002122,1.150040,-0.076182,0.000001,0.000001,0.000006,3.250997,1.122900
3.238912,0.114754,1.142074,-1.410915,1.136724,819.000000,0.000722,2.943172,4.996590,0.002122,1.124802,-0.075895,0.000001,0.000001,0.000003,3.253394,1.136700
3.240058,0.114532,1.186182,-1.425157,1.150602,829.000000,0.000714,2.935571,4.996583,0.002119,1.110365,-0.064289,0.000001,0.000001,-0.000004,3.253677,1.150600
3.241185,0.114311,1.230280,-1.439205,1.164481,839.000000,0.000706,2.931110,4.996581,0.002118,1.097168,-0.060963,0.000001,0.000001,0.000009,3.254537,1.164500
3.242294,0.114089,1.274405,-1.453085,1.178359,849.000000,0.000698,2.924230,4.996574,0.002119,1.069385,-0.059048,0.000001,0.000001,0.000002,3.257453,1.178400
3.243385,0.113869,1.318494,-1.466775,1.192237,859.000000,0.000691,2.919684,4.996565,0.002114,1.076690,-0.054289,0.000001,0.000001,-0.000004,3.254829,1.192300
3.244459,0.113650,1.362541,-1.480282,1.206114,869.000000,0.000684,2.914586,4.996560,0.002116,1.100618,-0.073593,0.000001,0.000001,0.000004,3.255016,1.206100
3.245516,0.113432,1.406534,-1.493608,1.219995,879.000000,0.000677,2.913398,4.996566,0.002122,1.051222,-0.075127,0.000001,0.000001,-0.000007,3.258433,1.220000
3.246558,0.113215,1.450462,-1.506754,1.233874,889.000000,0.000670,2.909319,4.996566,0.002121,1.036090,-0.069901,0.000001,0.000001,-0.000002,3.259703,1.233900
3.247584,0.113000,1.494314,-1.519723,1.247756,899.000000,0.000663,2.906337,4.996578,0.002128,1.002089,-0.070802,0.000001,0.000001,0.000003,3.263643,1.247800
3.248594,0.112786,1.538125,-1.532536,1.261636,909.000000,0.000657,2.901283,4.996578,0.002122,1.012706,-0.074865,0.000001,0.000001,-0.000001,3.261214,1.261700
3.249590,0.112572,1.581852,-1.545180,1.275516,919.000000,0.000650,2.899804,4.996580,0.002118,1.013736,-0.075282,0.000001,0.000001,0.000001,3.260150,1.275500
3.250572,0.112361,1.625468,-1.557650,1.289394,929.000000,0.000644,2.898961,4.996575,0.002118,1.017719,-0.084847,0.000001,0.000001,0.000003,3.259970,1.289400
3.251542,0.112152,1.668932,-1.569936,1.303273,939.000000,0.000638,2.899800,4.996573,0.002113,1.030045,-0.074913,0.000001,0.000001,0.000000,3.257473,1.303300
3.252498,0.111945,1.712274,-1.582055,1.317152,949.000000,0.000632,2.896343,4.996573,0.002106,1.047738,-0.074376,0.000001,0.000001,0.000001,3.253968,1.317200
3.253442,0.111740,1.755473,-1.594004,1.331033,959.000000,0.000626,2.893966,4.996579,0.002104,1.029443,-0.080756,0.000001,0.000001,0.000002,3.255379,1.331100
3.254374,0.111537,1.798503,-1.605776,1.344910,969.000000,0.000621,2.892835,4.996566,0.002109,1.037294,-0.095423,0.000001,0.000001,-0.000007,3.256982,1.344900
3.255294,0.111336,1.841399,-1.617393,1.358790,979.000000,0.000615,2.889506,4.996571,0.002102,1.049074,-0.102188,0.000001,0.000001,0.000004,3.253545,1.358800
3.256203,0.111137,1.884104,-1.628835,1.372667,989.000000,0.000610,2.888999,4.996563,0.002111,1.039655,-0.112720,0.000001,0.000001,0.000005,3.257729,1.372700
3.257102,0.110941,1.926611,-1.640104,1.386542,999.000000,0.000604,2.887147,4.996548,0.002127,1.150436,-0.162438,0.000001,0.000001,-0.000001,3.229924,1.386600
3.257990,0.110747,1.968945,-1.651215,1.400419,1009.000000,0.000599,2.882360,4.996541,0.002128,1.149278,-0.169456,0.000001,0.000001,0.000003,3.229039,1.400400
3.258867,0.110555,2.011094,-1.662168,1.414301,1019.000000,0.000594,2.877489,4.996549,0.002126,1.139575,-0.172131,0.000001,0.000001,0.000002,3.229910,1.414300
3.259735,0.110365,2.053024,-1.672953,1.428181,1029.000000,0.000589,2.880118,4.996551,0.002120,1.146729,-0.173379,0.000001,0.000001,0.000003,3.226816,1.428200
3.260593,0.110178,2.094731,-1.683572,1.442060,1039.000000,0.000584,2.879056,4.996550,0.002126,1.096784,-0.170940,0.000001,0.000001,-0.000003,3.231626,1.442100
3.261442,0.109993,2.136267,-1.694050,1.455938,1049.000000,0.000579,2.875772,4.996546,0.002125,1.088278,-0.172150,0.000001,0.000001,0.000004,3.232571,1.456000
3.262282,0.109811,2.177515,-1.704344,1.469818,1059.000000,0.000574,2.876793,4.996549,0.002120,1.094924,-0.170933,0.000001,0.000001,0.000006,3.230695,1.469800
3.263113,0.109632,2.218541,-1.714486,1.483699,1069.000000,0.000570,2.877696,4.996555,0.002118,1.087007,-0.171962,0.000001,0.000001,0.000002,3.230042,1.483700
3.263936,0.109454,2.259355,-1.724481,1.497577,1079.000000,0.000565,2.878505,4.996549,0.002122,1.074156,-0.179739,0.000001,0.000001,0.000001,3.231936,1.497600
3.264752,0.109281,2.299816,-1.734279,1.511460,1089.000000,0.000561,2.876951,4.996563,0.002130,1.028142,-0.177390,0.000001,0.000001,0.000008,3.237335,1.511500
3.265559,0.109108,2.340102,-1.743953,1.525343,1099.000000,0.000556,2.877531,4.996573,0.002129,1.015325,-0.179989,0.000001,0.000001,-0.000001,3.236545,1.525400
3.266358,0.108939,2.380099,-1.753462,1.539222,1109.000000,0.000552,2.878169,4.996571,0.002129,0.991686,-0.174124,0.000001,0.000001,0.000000,3.236821,1.539300
3.267150,0.108772,2.419859,-1.762828,1.553097,1119.000000,0.000548,2.877796,4.996559,0.002135,0.953507,-0.175592,0.000001,0.000001,0.000001,3.241511,1.553100
3.267935,0.108607,2.459335,-1.772037,1.566975,1129.000000,0.000543,2.878665,4.996556,0.002137,0.940490,-0.185587,0.000001,0.000001,0.000004,3.242630,1.567000
3.268711,0.108445,2.498605,-1.781122,1.580855,1139.000000,0.000539,2.877207,4.996556,0.002131,0.952876,-0.186704,0.000001,0.000001,0.000002,3.239994,1.580900
3.269481,0.108285,2.537597,-1.790057,1.594734,1149.000000,0.000535,2.876339,4.996554,0.002125,0.968118,-0.185609,0.000001,0.000001,0.000002,3.237834,1.594800
3.270244,0.108127,2.576284,-1.798836,1.608611,1159.000000,0.000531,2.875379,4.996549,0.002121,0.969943,-0.184255,0.000001,0.000001,0.000003,3.235806,1.608600
3.271001,0.107972,2.614728,-1.807484,1.622491,1169.000000,0.000527,2.872666,4.996550,0.002120,0.960698,-0.187531,0.000001,0.000001,0.000001,3.235465,1.622500
3.271750,0.107818,2.652923,-1.816002,1.636371,1179.000000,0.000524,2.873318,4.996553,0.002116,0.964142,-0.193254,0.000001,0.000001,0.000002,3.233852,1.636400
3.272493,0.107667,2.690817,-1.824373,1.650253,1189.000000,0.000520,2.872033,4.996559,0.002114,0.965992,-0.190435,0.000001,0.000001,0.000001,3.233131,1.650300
3.273230,0.107519,2.728399,-1.832595,1.664134,1199.000000,0.000516,2.872088,4.996565,0.002115,0.954569,-0.186814,0.000001,0.000001,0.000002,3.234339,1.664200
3.273962,0.107373,2.765651,-1.840664,1.678011,1209.000000,0.000512,2.873761,4.996558,0.002118,0.991033,-0.204013,0.000001,0.000001,0.000002,3.236274,1.678000
3.274687,0.107229,2.802678,-1.848622,1.691891,1219.000000,0.000509,2.870054,4.996559,0.002116,0.987562,-0.205147,0.000001,0.000001,-0.000001,3.236505,1.691900
3.275407,0.107088,2.839412,-1.856445,1.705770,1229.000000,0.000505,2.871187,4.996558,0.002119,0.967477,-0.194948,0.000001,0.000001,-0.000002,3.238646,1.705800
3.276120,0.106948,2.875864,-1.864140,1.719649,1239.000000,0.000502,2.872970,4.996559,0.002122,0.963274,-0.187093,0.000001,0.000001,0.000001,3.239087,1.719700
3.276828,0.106811,2.911980,-1.871688,1.733530,1249.000000,0.000498,2.874863,4.996565,0.002115,0.984757,-0.193969,0.000001,0.000001,0.000002,3.235616,1.733600
3.277531,0.106676,2.947867,-1.879132,1.747412,1259.000000,0.000495,2.874155,4.996571,0.002115,0.976667,-0.189572,0.000001,0.000001,-0.000001,3.235786,1.747400
3.278227,0.106543,2.983464,-1.886450,1.761293,1269.000000,0.000492,2.874088,4.996575,0.002109,0.991724,-0.194454,0.000001,0.000001,0.000003,3.233183,1.761300
3.278919,0.106411,3.018782,-1.893650,1.775174,1279.000000,0.000488,2.878278,4.996580,0.002103,1.011067,-0.198978,0.000001,0.000001,0.000002,3.229549,1.775200
3.279605,0.106282,3.053790,-1.900720,1.789053,1289.000000,0.000485,2.877775,4.996578,0.002104,0.995233,-0.199965,0.000001,0.000001,0.000003,3.229996,1.789100
3.280286,0.106155,3.088544,-1.907683,1.802931,1299.000000,0.000482,2.877910,4.996576,0.002099,1.007399,-0.199269,0.000001,0.000001,0.000002,3.227213,1.803000
3.280962,0.106029,3.123006,-1.914527,1.816812,1309.000000,0.000479,2.876768,4.996580,0.002093,1.023394,-0.202695,0.000001,0.000001,0.000000,3.224163,1.816800
3.281634,0.105906,3.157134,-1.921239,1.830692,1319.000000,0.000476,2.876754,4.996581,0.002087,1.042375,-0.204602,0.000001,0.000001,0.000000,3.220599,1.830700
